番号,単語,意味
1138,counsel,忠告する、（人）に～（するよう）勧める
1139,count,数える、重要である、計算
1140,counter,～と反論する、～に反対する
1141,counterfeit,偽造の、偽の
1142,counterpart,対応するもの、対の片方
1143,countless,無数の
1144,countryside,（通例the）地方、田舎、田園地帯
1145,county,【米】郡、【英】州
1146,courage,勇気
1147,court,裁判所、宮廷、庭、（テニスなどの）コート
1148,courteous,礼儀正しい、思いやりがある、丁重な
1149,courtesy,礼儀正しさ、好意、優遇
1150,courthouse,裁判所(の建物)
1151,cousin,いとこ
1152,cove,入江、小湾
1153,cover,覆う、隠す、含む、（ある距離）を行く、（範囲）に及ぶ
1154,coverage,報道
1155,coward,臆病者
1156,cowardly,卑怯な、臆病な
1157,coworker,同僚、仕事仲間
1158,co-worker,同僚、仕事仲間
1159,cozy,居心地のよい
1160,crack,割れる（割る）、ぱちっと鳴る（鳴らす）、割れ目、隙間
1161,cradle,ゆりかご、（the～で）幼年時代
1162,craft,技術、商売、手工業、悪知恵、船舶、飛行機
1163,craftsman,職人、熟練工、工芸家
1164,cram,ぎっしり詰める、詰め込み勉強
1165,cramp,痙攣
1166,crash,衝突（墜落）する（させる）、衝突、墜落、故障
1167,crave,(を)切望する
1168,crawl,はう、ゆっくり進む
1169,crazy,夢中である（about）、正気でない
1170,create,創り出す、引き起こす
1171,creativity,創造性、独創性
1172,creature,動物
1173,credibility,信用
1174,credible,信用〔信頼〕できる、確実な、(成功などの)見込みのある
1175,credit,信用、名誉、功績、(大学などの)単位、信じる
1176,creditor,債権者、貸主
1177,creep,忍び込む、のろのろ進む、はう
1178,crest,頂上
1179,crew,乗組員、乗務員、一団
1180,crime,罪、犯罪、違法行為
1181,criminal,犯罪者、犯人
1182,crisis,危機
1183,crisp,パリパリした
1184,criteria,基準
1185,criterion,(価値判断の)基準、尺度(複：criteria)
1186,critic,批判する人、批評家
1187,critical,批判的な（of）、重大な、危機的な、批評的な
1188,critically,批評的に、非常に、決定的に、危険なほどに
1189,criticism,批判
1190,criticize,批判する、批評する
1191,crocodile,ワニ
1192,crooked,曲がった
1193,crop,作物、収穫(量)、～を収穫する、(作物が)できる
1194,cross,横切る、十字（路）、混合物
1195,crouch,しゃがむ
1196,crowd,群衆、（the）大衆、群がる、に群がる
1197,crucial,決定的な、必要不可欠の
1198,crude,雑な、荒削りな、こなれていない、（態度などが）露骨な
1199,cruel,残酷な、悲惨な、ひどい
1200,cruise,遊覧航海する、ぶらぶらする、を巡航する
1201,crumble,ぼろぼろ（になる）、崩壊する
1202,crummy,いやな、薄汚れた
1203,crush,押しつぶす、つぶれる、混雑
1204,crust,地殻、パンの耳、(動物の)甲殻
1205,crystal,結晶（の）、水晶（の）
1206,cue,合図、手がかり、（次の演技の）キュー
1207,cuisine,（独特の）料理、料理法
1208,culprit,（具体的な犯罪の）犯人、（何かの問題の）元凶
1209,cult,崇拝、熱狂
1210,cultivate,耕作する、栽培する、（才能など）をみがく、養う
1211,culture,文化、教養、洗練、耕作、栽培、飼育、芸術、文学
1212,cumulative,累積する、しだいに増加する
1213,cunning,悪賢い、ずるい、ずるさ
1214,curb,抑制する、拘束する、(歩道の)縁石
1215,cure,治療する、取り除く、治療
1216,curfew,門限
1217,curiosity,好奇心
1218,curious,好奇心の強い、好奇心をそそる、奇妙な
1219,currency,通貨、普及
1220,current,現在の、通用している、流れ
1221,curriculum,カリキュラム、(学校の)教科課程
1222,curse,呪い(の言葉)、ののしり、をののしる
1223,curve,（道路などの）カーブ、曲線
1224,custody,親権、保護、管理、拘留
1225,custom,慣習、習慣、（商店などへの）愛顧、（～s）関税、税関
1226,customary,習慣的な
1227,customer,顧客
1228,cyberspace,サイバースペース
1229,cycle,周期、循環、自転車に乗る、循環する
1230,cynical,軽蔑する、冷笑的な〔に〕、皮肉な、ひねくれた
1231,dagger,短剣
1232,daily,日常（の）、毎日（の）
1233,dairy,〔集合的に〕乳製品、乳製品加工所［販売者］
1234,damage,損害を与える、損害、損傷
1235,damp,湿った
1236,danger,危険、脅威
1237,dare,あえて（～）する、～に立ち向かう、思い切って～する
1238,daring,大胆な、勇敢な
1239,data,（単複両扱い）情報、データ（単数形はdatum）
1240,database,データベース、データの集積
1241,dawn,夜明け、始まり、わかり始める
1242,daylight,昼間、公表
1243,dazed,呆然とした
1244,dazzle,の目をくらます、目がくらむこと、輝き
1245,deadline,締め切り
1246,deadlock,行き詰まり
1247,deadly,致命的な、命にかかわる
1248,deaf,耳が聞こえない
1249,deal,扱う、対処する、分配する
1250,death,死（亡）
1251,debatable,議論の余地のある
1252,debate,議論、論争、討論する、論争する
1253,debris,（破壊された後の）残骸、瓦礫、がらくた
1254,debt,借金（状態）
1255,debut,デビュー、初舞台、デビューする
1256,decade,10年間
1257,decay,腐敗する、（徐々に）衰える
1258,deceased,死去した
1259,deceitfully,偽って、人を惑わすように
1260,deceive,だます
1261,decency,礼儀正しさ、良識
1262,decent,まともな、まあまあの、慎みのある、かなりよい、きちんとした
1263,deception,詐欺
1264,deceptive,人を惑わすような
1265,decide,決める、決意する、決着をつける
1266,decision,決定、決心
1267,decisive,決定的な、断固とした
1268,declaration,宣言、公表、申告
1269,declare,宣言する、言明する、断言する
1270,decline,減少、衰退、低下、減少する、衰退する、を断る
1271,decode,(暗号・符号)を解読する
1272,decorate,装飾する
1273,decoration,飾り、飾り付け、装飾品
1274,decrease,減少する、を減らす
1275,dedicate,ささげる
1276,dedicated,献身的な、熱心な
1277,deduce,推論[推定、演繹]する、(結論)を出す
1278,deduct,を控除する、を減じる
1279,deed,行為、行い
1280,deem,[他] (Ｏ (to be)Ｃ)ＯをＣだと思う
1281,deer,シカ（複数形も同形）
1282,default,初期設定、デフォルト、不履行
1283,defeat,失敗(させる)、敗北（させる）
1284,defect,欠陥、欠点、障害
1285,defective,欠陥のある
1286,defend,防御する、弁護する
1287,defendant,被告(人)
1288,defensive,防御的な
1289,defiant,挑戦（反抗）的な
1290,deficiency,不足、欠陥
1291,deficit,不足（額）、欠損
1292,define,定義する、明確に定める
1293,definite,明確な
1294,definitely,絶対
1295,definition,定義
1296,deflate,(タイヤ・風船などが)しぼむ、をしぼませる
1297,deflect,(人の注意・非難など)をそらす、の方向を変えさせる
1298,deforestation,森林破壊
1299,deformity,変形、奇形
1300,defy,逆らう、反抗する、挑む
1301,degrade,の品位を下げる、(価値・品質)を下げる、低下する
1302,degree,学位、（温度・角度などの）度、程度、段階
1303,dehydrate,を脱水する、(野菜など)から水分を抜く
1304,dehydration,脱水(症状)
1305,dejected,落胆した、元気のない
1306,delay,遅延、延期、を遅らせる、を延期する、のろのろする
1307,delegate,(権限など)を委任する、(人)を代表として派遣する
1308,delegation,代表派遣、使節
1309,delete,削除する、消す
1310,deliberate,慎重な、意図的な、落ち着いた、ゆっくりの、熟考する
1311,deliberately,故意に
1312,delicate,繊細な、かよわい、（問題などが）微妙で扱いにくい
1313,delight,大きな喜び、を大喜びさせる、楽しむ
1314,delinquent,非行の
1315,delirious,精神が錯乱した
1316,deliver,配達する、（演説など）をする、（子）を出産する
1317,demand,要求する、要求、需要
1318,dementia,認知症
1319,demise,消滅、終わり、死去
1320,democracy,民主主義、民主政治、民主国家
1321,democratic,民主主義の、民主的な
1322,demographic,人口統計学の
1323,demographics,人口統計の
1324,demolish,破壊する、粉砕する
1325,demonstrate,証明する、実演する、デモをする
1326,demote,を降格する
1327,denial,否定、拒否
1328,denounce,非難する、責める
1329,dense,密集した、濃い
1330,density,密度
1331,dent,へこみ
1332,deny,～を否定する、～を（…に）与えない
1333,depart,出発する、（～から）それる（from）
1334,department,部門、学科、～省、（百貨店などの）売り場
1335,departure,出発
1336,depend,頼る、依存する、左右される、（～によって）決まる
1337,dependency,依存、従属
1338,depict,描写する
1339,depiction,描写
1340,deplore,嘆き悲しむ、非難する
1341,deploy,を有効活用する、を配置する
1342,deposit,置く、預金する、預金、手付金、堆積物
1343,depot,倉庫
1344,deprecate,を非難する、に反対を唱える
1345,depress,落胆させる、押し下げる、憂鬱にさせる
1346,depression,憂うつ、うつ病、不況、低気圧
1347,depressive,憂うつな、うつ病の
1348,deprivation,喪失、欠乏、はく奪
1349,deprive,～から（～を）奪う、～から剥奪する
1350,depth,深さ
1351,derive,由来する、～を得る
1352,descend,（be ～ed）由来する、を降りる、伝わる
1353,descendant,子孫
1354,descent,下降、降下、下り坂、家系
1355,describe,描写する、～を（…だと）言う、説明する
1356,description,描写、説明
1357,desert,(見)捨てる、砂漠、不毛の
1358,deserted,人気のない
1359,deserve,～に値する、～を受ける価値がある
1360,design,設計する、設計（図）、デザイン、意図
1361,designate,指名する、指定する、指名された
1362,desirable,望ましい
1363,desire,欲望、要望、（強く）を望む
1364,desolate,寂しい、孤独な、荒れ果てた、みじめな、を寂しくさせる
1365,despair,絶望
1366,desperate,自暴自棄の、絶望的な、（～したくて）たまらない
1367,despise,軽蔑する、ひどくきらう
1368,despite,～にもかかわらず
1369,destination,目的地
1370,destined,運命である
1371,destiny,運命
1372,destroy,破壊する、滅ぼす、殺す
1373,destruction,破壊、破滅
1374,detach,切り離す、取り外す
1375,detached,切り離された
1376,detachment,超然、分離
1377,detail,詳細、細部
1378,detain,拘留する
1379,detect,感知する、見つけ出す、に気づく
1380,detention,拘置、留置
1381,deter,妨げる、思いとどまらせる
1382,deteriorate,悪化する、低下する
1383,determine,決意する、はっきりと決める
1384,deterrent,抑止するもの
1385,detonate,爆発する
1386,detour,迂回(路)、回り道
1387,detriment,損害、損失
1388,detrimental,（to ～）（～に）有害な
1389,devalue,（通貨を）切り下げる
1390,devastate,壊滅させる
1391,develop,発達する、を発達させる、を開発する、を発症する
1392,developer,宅地造成業者、開発者
1393,device,装置、機器、方策、デバイス
1394,devious,不誠実な
1395,devise,考案する
1396,devoid,欠いている、持っていない
1397,devote,充てる、ささげる
1398,devoted,献身的な、熱中している
1399,devour,むさぼり食う
1400,diabetes,糖尿病
1401,diagnose,診断する
1402,diagnosis,診断
1403,diagonally,斜めに、対角線的に
1404,diagram,図(表)
1405,dialect,方言、地方語
1406,dialogue,対話、会話、意見の交換
1407,diameter,直径、倍率
1408,diarrhea,下痢
1409,dictate,書きとらせる、命令する
1410,dictator,独裁者
1411,dictum,格言、意見
1412,diet,食事、ダイエット、食習慣、（the D-）国会
1413,dietary,食事の
1414,differ,異なる、意見が合わない、違う
1415,differently,異なって
1416,difficulty,困難(さ)
1417,diffuse,放散させる、流布させる、広まる、発散(流布)した
1418,dig,掘る、探求する
1419,digest,消化する、理解する、要約する
1420,digestion,消化（作用）
1421,digestive,消化の
1422,digit,数字
1423,digital,デジタル方式の、デジタル［数字］表示の
1424,dignity,威厳、気品、尊厳
1425,dilemma,ジレンマ、板挟み
1426,diligent,勤勉な、一生懸命な、念入りな、骨を折った
1427,dilution,希釈
1428,dim,ぼんやりした、かすかな
1429,dimension,局面、次元、寸法、重要性
1430,diminish,減らす、減少する
1431,dining,食事（をすること）
1432,dinosaur,恐竜
1433,dioxide,二酸化物
1434,dip,ちょっと浸る、浸す、沈む、ちょっと浸すこと、低下
1435,diploma,卒業〔終了〕証書、学位授与証
1436,diplomacy,外交（的手腕）
1437,diplomat,外交官
1438,diplomatic,外交的な、外交官の、外交的手腕に優れた、外交上の
1439,direct,道を教える、向ける、指図（指示）する
1440,direction,方向、指導
1441,directly,直接に
1442,dirt,汚れ、泥
1443,disability,障がい
1444,disabled,障がいのある、障がい者用の
1445,disadvantage,不利（な点）、障害、（信用などの）損失
1446,disadvantaged,(経済的・社会的に)恵まれない
1447,disagree,不賛成である、意見が食い違う
1448,disappear,消える、見えなくなる
1449,disappoint,失望させる、（希望など）をくじく
1450,disapprove,賛成しない、を認めない
1451,disarm,武装解除する
1452,disaster,（大）災害
1453,disastrous,悲惨な、災害を引き起こす
1454,disband,解散する
1455,discard,(不用品・習慣・友人など)を捨てる、放棄
1456,discern,見つける、見分ける、識別する
1457,discharge,放出する
1458,disciplinary,規律の、規律に関する、学科の
1459,discipline,訓練する、しつける、訓練、しつけ、規律
1460,disclose,公表する、暴く
1461,discomfort,不快、不便
1462,disconnect,(人)のインターネットへの接続を切る、の接続を断つ
1463,discontent,不満
1464,discord,不一致、不和
1465,discount,割引（率）、を割引する、（話など）軽視（無視）する
1466,discourage,やる気をなくさせる、落胆させる
1467,discouraging,がっかりさせる
1468,discourse,話し合い、会話、講演、論説
1469,discover,（偶然に）を発見する、に気づく
1470,discredit,に疑いをかける、の信憑性を失わせる
1471,discreet,思慮分別のある、目立たない
1472,discriminate,差別する、識別する、～を区別する
1473,discrimination,差別、区別
1474,discriminatory,差別的な
1475,discuss,～について話し合う
1476,disdain,軽蔑、を軽蔑する
1477,disease,病気
1478,disgrace,不名誉
1479,disguise,変装する、隠す、見せかけ、ごまかし
1480,disgust,嫌悪、をむかむかさせる
1481,dish,皿、（皿に盛った）料理
1482,dishonesty,不正(行為)、不正直
1483,dislike,嫌う、嫌悪
1484,dislocate,を脱臼させる、を混乱させる
1485,dismal,気分を暗くさせる
1486,dismantle,分解する
1487,dismay,ろうばいさせる、落胆させる、ろうばい、落胆
1488,dismayed,うろたえ
1489,dismiss,無視する、解雇する、解散する
1490,disobedient,従順でない、違反する
1491,disorder,障害、（心身の）不調、混乱
1492,disown,関係を否定する
1493,disparity,不釣り合い、相違
1494,dispatch,派遣する、発送する、処理する
1495,dispel,追い散らす
1496,dispense,分配する、配給する、施す、投薬する
1497,disperse,分散させる、散布する、広める、消散する
1498,displace,～に取って代わる、移動させる
1499,display,陳列する、示す、見せびらかす、展示、表に出すこと
1500,displeasure,不満、不快
1501,disposable,使い捨ての
1502,disposal,処分、処理、処分の自由、(人・物などの)配置
1503,dispose,処置する、処分する、配置する、～を…する気にさせる
1504,disprove,の誤りを証明する、の反証を挙げる
1505,dispute,討論、紛争を議論（論争）する、に反論する
1506,disregard,無視する、軽視する、無視、軽視
1507,disrupt,中断させる、混乱させる、分裂させる
1508,dissatisfied,不満な、不満そうな
1509,dissolve,溶かす、解散する、解消する、溶ける
1510,distance,距離
1511,distant,遠い、距離のある、（関係が）冷ややかな
1512,distinct,明らかに異なる、明瞭な
1513,distinctly,はっきりと、明確に、本当に
1514,distinguish,"区別する, 見分ける"
1515,distort,ゆがめる、ねじる
1516,distortion,ゆがみ、歪曲、ゆがめられた物〔状態〕
1517,distract,そらす
1518,distraction,気が散ること、気を散らすもの、気晴らし
1519,distress,苦悩、疲労、困窮、を苦悩させる
1520,distribute,分配する、〔受身形で〕分布する
1521,distribution,分配、配給
1522,district,地域、地区
1523,disturb,かき乱す、妨害する、邪魔をする
1524,disturbance,妨害、騒乱
1525,ditch,溝
1526,diverge,分岐する、分かれる、異なる
1527,divergence,逸脱，相違，《数学》発散
1528,diverse,さまざまな
1529,diversion,気晴らし、注意をそらすこと、目的変更、方向転換
1530,diversity,多様性、相違点
1531,divert,そらす、迂回させる、転用する
1532,divide,分割する、分離する、分ける、分類する
1533,divine,神の、神にささげる
1534,division,部門、分割、分配、割り算
1535,divorce,離婚する、～を（…から）分離する
1536,dizzy,めまいのする、目もくらむような
1537,do,～に～をもたらす、役に立つ、～をする
1538,dock,埠頭、波止場、(艦船の)ドック
1539,doctorate,博士号
1540,doctrine,教義、主義
1541,document,記録する、文書、記録
1542,dodge,を巧妙に逃れる
1543,dogma,教義、定説； 独断
1544,dollar,ドル、１ドル紙幣
1545,dolphin,イルカ
1546,domain,(活動・関心・知識などの)領域、分野、範囲、領地、領土
1547,domestic,家庭の、国内の、（動物が）飼いならされた
1548,domestication,飼いならすこと、順応
1549,dominance,支配、優勢
1550,dominant,支配的な、より優位にたつ
1551,dominate,支配する、優勢である
1552,donate,寄付する、贈与する、（臓器・血液）を提供する
1553,donation,寄贈〔寄付〕、(血液・臓器などの)提供
1554,donkey,ロバ
1555,doom,破滅、運命、死、を運命づける(to)
1556,doomed,運命にある
1557,dormant,（火山などが）休止状態の，眠っている
1558,dormitory,寮
1559,dose,（薬の1回分の）服用量
1560,dot,点、しみ
1561,doubly,二重に、二倍に
1562,doubt,疑う、～ではないと思う
1563,doubtful,疑わしい、疑っている
1564,downfall,破滅、転落、(雨・雪などの)大降り
1565,downplay,を軽く扱う
1566,downright,まったく、まったくの、率直な
1567,downtown,町の中心街、町の中心街へ
1568,downturn,(景気などの)下降(状態)
1569,dozen,ダース（12個）（の）
1570,draft,下書き、為替手形、すき間風
1571,drag,引きずる、のろのろと進む、だらだらと続く
1572,drain,排出させる、空にする、使い果たす、水がはける、徐々に尽きる
1573,drama,ドラマ、演劇
1574,dramatic,劇的な、演劇の
1575,drastic,徹底的な、思い切った、猛烈な、抜本的な
1576,drastically,劇的に
1577,draw,引く、描画する、近づく、引き分け
1578,drawback,欠点、不利な点
1579,dread,ひどく恐れる、恐怖
1580,dreadful,ひどい、いやな、恐ろしい
1581,dreary,わびしい、退屈な
1582,dress,衣服を着せる、ドレス、衣服
1583,drift,漂う、（知らぬ間に）移り変わる、漂流物
1584,drill,訓練、（反復）練習、ドリル、錐
1585,drive,駆り立てる、（車）を運転する、車で送る、衝動
1586,drizzle,霧雨（が降る）
1587,drone,ドローン、(無線操作の)無人機
1588,droop,垂れ下がる
1589,drought,干ばつ、（慢性的な）不足
1590,drown,溺死させる、溺れ死ぬ、ずぶ濡れになる
1591,drowsy,眠い
1592,drug,薬、麻薬
1593,dual,二の、二重の
1594,dubious,疑わしい、信用できない、疑っている
1595,due,～するはず、到着予定で、期限が来て、当然支払うべき、正当な
1596,dull,退屈な、（色などが）くすんだ、曇った
1597,dumb,口が利けない、ばかな、愚かな
1598,dump,捨てる、ドサッと落とす、ごみ捨て場、ごみの山
1599,dumping,（ごみなどの）投げ捨て、投棄
1600,duplicate,複製する
1601,durable,耐久性がある、長持ちする：（状況などが）長く続く
1602,duration,（時間の）継続、持続（時間）
1603,dust,ほこり
1604,Dutch,オランダ人[語](の)
1605,dutiful,忠実な
1606,duty,任務、義務、関税
1607,dwell,住む、宿る
1608,dweller,居住者
1609,dwindle,低下する、だんだん小さくなる
1610,dye,染料、染まる（染める）
1611,dynamic,活動的な、精力的な、動的な
1612,eager,熱望して、熱心な
1613,early,早く、初期に；早い、初期の
1614,earn,（働いてお金など）を稼ぐ、（名声など）を得る
1615,earnest,熱心な、真剣な、重大な、厳粛な
1616,earthquake,地震
1617,earthworm,ミミズ
1618,ease,容易さ、安楽さ、を和らげる、を取り除く
1619,east,東（部）（の）
1620,eccentric,常軌を逸した、一風変わった、変な
1621,echo,まねる、踏襲する、反響させる；こだま、反響、繰り返し
1622,eclipse,（日食・月食などの）食、（名声などの）失墜
1623,ecological,生態学の
1624,ecologist,生態学者、環境保護論者
1625,ecology,生態学、生態(系)、自然環境、エコロジー
1626,economic,経済(学)の
1627,economical,経済的な、安上がりな
1628,economist,経済学者
1629,economy,経済（状態）、経済圏、節約
1630,ecosystem,生態系
1631,ecstatic,有頂天の
1632,edge,端、ふち、刃（先）
1633,edible,食用の、食べられる
1634,edit,編集する
1635,edition,(刊行物の)版
1636,editor,編集者、編集長
1637,editorial,社説
1638,educate,教育する、に教える、（能力など）を養う
1639,education,教育
1640,educator,教育者、教師、教育学者(米)
1641,eel,ウナギ
1642,eerie,不気味な
1643,effect,影響、効果、結果、（結果を）もたらす
1644,effective,効果的な
1645,efficient,効率的な、有能な、効率的に仕事をこなす
1646,effort,努力
1647,ego,うぬぼれ、自我
1648,Egypt,エジプト
1649,eject,を取り出す、を追い出す
1650,elaborate,詳しく述べる、手の込んだ、複雑な
1651,elbow,ひじ
1652,elderly,初老の、年配の
1653,elect,～を選ぶ、～を選挙で選ぶ
1654,election,選挙、当選
1655,electric,電気の、電気で動く
1656,electrical,電気の、電気を扱う
1657,electricity,電気
1658,electrode,電極
1659,electronic,電子（工学）の
1660,elegant,優雅な、上品な
1661,element,要素、元素、基礎、自然の力
1662,elemental,すさまじい、根本的な、自然の
1663,elementary,初級の、基本的な
1664,elevate,を上げる、を昇進させる
1665,elevation,向上、昇進、上げること、標高
1666,elevator,エレベーター
1667,eligible,適格の、資格のある、（結婚相手として）望ましい
1668,eliminate,～を除去する、～を完全になくす、～を取り除く
1669,elite,〔通例the～〕〔集合的に〕エリート
1670,elk,ヘラジカ
1671,eloquent,雄弁な、よく表す(of)
1672,elsewhere,どこか他のところに
1673,embark,乗り込む、着手する
1674,embarrass,当惑させる、困らせる、恥ずかしい思いをさせる
1675,embassy,大使館、大使館員
1676,embed,〔通例受身形で〕埋め込まれる、はめ込まれる
1677,embody,（思想など）を具体化する
1678,embrace,含む、（考えなど）を受け入れる、（人）を抱きしめる
1679,emerge,現れる、明らかになる、抜け出す
1680,emergency,非常事態、緊急事態
1681,emigrate,移住する
1682,emigration,移住、移民団
1683,eminent,著名な、すぐれた、卓越した
1684,emission,放出（量）
1685,emit,放出する、出す、送る
1686,emotion,感情、情動、感動
1687,empathy,感情移入、共感
1688,emperor,皇帝
1689,emphasize,強調する、重点を置く
1690,empire,帝国、大企業
1691,empirical,実験〔実証・経験〕に基づいた
1692,employ,雇う、使う
1693,employee,従業員
1694,employment,雇用
1695,empower,権限を与える
1696,empty,空になる、を空にする、空の、空虚な
1697,emulate,見習う
1698,enable,（人）が…できるようにする、を可能にする
1699,enact,制定する
1700,encase,を入れる、を含む
1701,enchant,魅了する、魔法をかける
1702,enclose,同封する、取り囲む
1703,encompass,[他] ～を含む
1704,encounter,遭遇する、（思いがけず）出会う
1705,encourage,～を…するよう励ます、促進する
1706,encouraging,勇気づける、望みを持たせる
1707,encyclopedia,百科事典
1708,end,端、終了、目的、終わらせる、終わる
1709,endanger,危険にさらす
1710,endangered,絶滅の危機に瀕した
1711,endeavor,努める、努力
1712,endocrine,内分泌の
1713,endorse,を推奨する
1714,endow,授ける、与える、寄付する
1715,endowed,恵まれる
1716,endure,耐える、持ちこたえる
1717,enemy,敵（軍）
1718,energetic,（人，運動などが）活発な
1719,energy,エネルギー、活力
1720,enforce,施行［実施］する、強制する
1721,engage,引き付ける、雇う、従事させる、婚約させる、従事する
1722,engineering,工学(技術)
1723,enhance,高める、より良くする
1724,enjoyment,楽しみ、享受
1725,enlighten,啓発する、啓蒙する、教える、知らせる
1726,enlightened,進んだ考えの
1727,enlightenment,啓蒙、啓発
1728,enlist,入隊する、参加する、(支持・協力)を得る
1729,enormous,巨大な、莫大な
1730,enough,十分な、十分に、必要なだけの数量
1731,enrage,を憤慨させる
1732,enrich,豊かにする、濃縮化する
1733,enroll,登録する、入会する、を登録させる
1734,enrollment,登録
1735,ensue,続いて起こる
1736,ensure,確実にする、守る
1737,entail,伴う、引き起こす、含む
1738,entangle,もつれさせる、絡ませる、巻き込む
1739,enter,～に入る、～を記入する、～に加わる
1740,enterprise,企業、事業、企画、進取の気性
1741,entertain,楽しませる、もてなす、考慮する、心に抱く
1742,entertainment,娯楽、催し物、接待
1743,enthusiasm,熱情、熱意
1744,enthusiastic,熱狂的な、熱心な
1745,entice,誘惑する
1746,entire,全体の、全部の、完全な
1747,entirely,まったく
1748,entitle,資格を与える、権利を与える、表題を付ける
1749,entitled,得る権利がある、題された
1750,entity,存在、存在物、統一体
1751,entrepreneur,起業家、事業家
1752,entrust,AにBを任せる
1753,envelop,包む
1754,envelope,封筒
1755,envious,うらやんで、うらやましそうな
1756,environment,環境
1757,envision,を心に思い描く、を想像する
1758,envoy,使節
1759,envy,うらやむ、ねたむ、ねたみ、うらやむ気持ち
1760,epidemic,伝染病、伝染病の流行、伝染病の、流行の
1761,epidemiology,疫学、流行病学
1762,episode,出来事、エピソード、１話
1763,epoch,時代、画期的な出来事
1764,equal,等しい、匹敵する、平等な
1765,equality,平等、対等
1766,equate,等しいとみなす、等しくする
1767,equation,方程式、同一視、均衡
1768,equator,赤道
1769,equip,備え付ける、装備する、身につけさせる
1770,equipment,装備、備品
1771,equivalent,同等の、担当する、同等のもの
1772,era,（政治・歴史上重要な）時代
1773,eradicate,[他] ～を根絶する
1774,erase,消し取る、削除する
1775,erect,建てる、直立させる、直立した
1776,erode,腐食する； ～を腐食する、侵食する
1777,erosion,浸食、衰え
1778,errand,（人の）使い、使い走り、用件
1779,erratic,不規則な
1780,error,（基準から外れた）誤り
1781,erupt,（火山が）噴火する、勃発する
1782,eruption,噴出、噴火、発生
1783,escape,逃げる、免れる、脱出、逃避
1784,escort,を護衛[護送]する、に付き添う
1785,essay,（学生に課される）レポート、エッセイ
1786,essential,必要不可欠な、本質的な
1787,establish,設立する、確立する、立証する
1788,establishment,設立、制定、組織
1789,estate,財産、地所
1790,esteem,尊敬、尊重、評価、を尊ぶ、とみなす〔思う〕
1791,estimate,見積もる、判断（評価）する、見積もり（書）、判断
1792,estimation,評価、意見、判断
1793,eternal,永遠の、不変の
1794,eternity,永久、永遠
1795,ethic,倫理、道徳、倫理［道徳］規範
1796,ethical,倫理(上)の、道徳の
1797,ethics,倫理学（観）、道徳（律）
1798,ethnic,民族の、人種の、民族特有の
1799,euphoria,幸福感
1800,Europe,ヨーロッパ
1801,evacuate,を避難させる、から立ち退く
1802,evacuated,避難した
1803,evade,避ける、回避する
1804,evaluate,評価する、査定する
1805,evaporate,蒸発する、消散する、を蒸発させる
1806,even,…さえ、（比較級の前で）いっそう
1807,event,(重要な)出来事、事件
1808,eventually,結局、最終的に
1809,everyday,日常の、毎日の
1810,evidence,証拠、（事実を示す）形跡
1811,evident,明白な、明らかな
1812,evil,害悪、邪悪、邪悪な
1813,evoke,呼び起こす、引き起こす、誘い出す
1814,evolution,進化(論)、発展
1815,evolve,（徐々に）発展する、進化する
1816,exact,正確な、まさにその
1817,exactly,ちょうど、正確に
1818,exaggerate,誇張する、強調する、誇張する
1819,exaggeration,誇張
1820,examine,調べる、診察する、尋問する
1821,excavate,[他] ～を発掘する
1822,excavation,発掘
1823,exceed,～を超える、～より勝る
1824,excel,秀でている、に勝る、より優れている
1825,excellent,非常に優れた
1826,except,～を除いて、 ～以外は
1827,exception,例外
1828,exceptional,例外的に優れた、まれな
1829,excerpt,抜粋、引用
1830,excess,過剰、超過
1831,excessive,過度の
1832,exchange,交換する、交換し合う、両替する
1833,excite,興奮させる
1834,exclaim,（突然）叫ぶ
1835,exclude,除外する
1836,exclusive,高級な、排他的な
1837,exclusively,もっぱら，～専用で
1838,excursion,遠足、団体の小旅行、脱線、逸脱
1839,excuse,許す、言い訳をする
1840,execute,実行〔遂行〕する、死刑を執行する、処刑する
1841,executive,(経営)幹部、執行権のある、行政の
1842,exempt,免除する
1843,exemption,(義務・責任などの)免除
1844,exercise,課題、行使、練習、運動、行使する、運動させる[する]
1845,exert,（力など）を用いる、を行使する、努力する、尽力する
1846,exhale,(息・煙・言葉など)を吐き出す
1847,exhaust,疲れ果てさせる、使い尽くす、排気する
1848,exhausted,疲れ切っている
1849,exhibit,展示する、（感情や能力）を示す、展示（品）
1850,exile,国外追放、亡命、国外追放する
1851,exist,存在する、生存する
1852,existence,存在、生存
1853,exotic,異国風の、（動植物などが）外来の、風変わりな
1854,expand,拡大する、広がる、膨張する
1855,expect,予期する、～を期待する、～だろうと思う
1856,expectancy,期待、見込み
1857,expectation,期待、予期、予想
1858,expedition,遠征、探検隊、小旅行
1859,expel,追い出す、追い払う
1860,expend,（労力・金・時間など）を費やす、を消費する
1861,expenditure,支出
1862,expense,〔～s〕経費、費用、犠牲
1863,expensive,高価な
1864,experience,経験、体験
1865,experienced,熟練した
1866,experiment,実験
1867,experimental,実験の、実験[試験]的な
1868,expert,専門家、熟練者、熟達した
1869,expertise,専門知識、専門的意見
1870,expire,(契約などが)終了する、死ぬ、息を吐きだす
1871,explain,説明する
1872,explicit,明白な、率直な
1873,explode,爆発する、急増する、を論破する
1874,exploit,（資源など）を開発する、～を搾取する、～を利用する
1875,exploration,探検、調査
