番号,英単語,意味
656,resent,～に憤慨する；～をひどく嫌う
657,deplore,～を嘆く
658,shudder,身震いする、ぞっとする
659,zeal,熱意、熱中
660,outrage,暴力; 激怒
661,whim,気まぐれの思いつき、でき心
662,staff,杖、棒；（集合的に）社員、職員、スタッフ
663,relevant,関連がある；適切な
664,emancipate,～を解放する
665,queue,列
666,indulge,～を甘やかす、～を満足させる、～にどんどん与える、～にふける
667,shed,（涙・血など）を流す；（葉など）を落とす；（光など）を投げかける
668,scared,おびえた；びっくりした
669,blush,（恥ずかしさなどで）顔を赤らめる
670,patron,（芸術などの）後援者；パトロン；常連客
671,obsess,（考えなどが）～にとりつく
672,proclaim,～を宣言する；～を（...だとはっきり）示す
673,satire,風刺、皮肉
674,mutter,つぶやく；ぶつぶつ不平を言う
675,denote,～を意味する
676,caricature,風刺画［文］；戯画；下手なまねごと
677,hemisphere,半球
678,subordinate,下位の；補助的な；従属する
679,frown,しかめ面をする、眉をひそめる
680,irony,皮肉、予想に反する結末
681,melancholy,憂うつ；哀愁
682,layer,（積み重ねたものの）層；地層
683,specimen,見本、標本
684,haughty,高慢な
685,impudent,ずうずうしい
686,pretend,～のふりをする、（～ということ）を装う
687,temperament,気質、気性
688,ancestor,先祖、祖先
689,territory,領土、領域
690,pity,哀れみ 、同情；残念なこと、遺憾なこと
691,temper,気質、気分；かんしゃく；平静な気分、落ち着き
692,blame,～を非難する；～に責任を負わせる；～を責める；～を（...の）せいにする
693,anxious,心配して；切望して
694,regret,～を後悔する、～を残念に思う
695,ashamed,恥ずかしがって、恥じている
696,touch,～を感動させる；～に触れる；～を扱う；～に影響を与える
697,ardent,激しい；熱心な
698,coward,臆病者
699,humble,謙遜した；卑しい；質素な
700,modest,謙虚な；（要求などが）控えめな；質素な、まあまあの
701,pacific,（the P～）太平洋
702,stubborn,頑固な；（行動が）断固とした、不屈の
703,identify,～が誰［何］であるかが分かる、～を同一のものとみなす；～を特定のもの［人］と確認する
704,feature,特徴、特色；顔立ち；目玉商品
705,wise,賢い、分別のある
706,clever,賢い；利口な；うまい；巧妙な
707,addict,中毒患者、（麻薬などの）常用者；愛好者
708,courteous,礼儀正しい
709,innate,生まれつきの
710,naughty,（子供が）いたずらな、わんぱくな；邪悪な
711,brutal,野蛮な；残酷な；残忍な；理性のない
712,conceit,うぬぼれ
713,discreet,思慮分別のある；目立たない
714,integrity,高潔さ、誠実さ；統一された状態
715,naive,世間知らずの；うぶな；単純な、だまされやすい
716,amiable,愛想のよい
717,temperate,節度のある、温和な
718,shrewd,抜け目のない；（洞察などが）鋭い
719,diligent,勤勉な
720,unique,唯一の、特有の；類のない
721,gentle,（性質などが）優しい、穏やかな
722,habit,習慣、癖
723,will,意志；遺書
724,idle,仕事をしていない、怠惰な
725,innocent,無邪気な；無罪の；悪気のない
726,lazy,怠惰な；無精な
727,willing,喜んで～する、快く～する；～するのをいとわない
728,patient,忍耐強い；我慢強い
729,wisdom,知恵、賢さ；金言、名言；学問、博識
730,nature,性質、本性；自然；種類
731,stupid,愚かな、ばかな、ばかげた
732,noble,気高い、高潔な；貴族の、高貴な
733,sincere,誠実な、心からの
734,nervous,神経の；神経質な、臆病な、あがった、緊張した
735,dumb,口がきけない ；おろかな
736,aggressive,攻撃的な、けんか腰の；積極的な
737,timid,臆病な、内気な
738,trait,特色；～気味
739,shortcoming,（～sで）欠点、短所
740,vanity,虚栄心、うぬぼれ
741,indignant,憤慨した
742,bewilder,～を当惑させる；～をうろたえさせる
743,rage,激怒；熱望；流行のもの
744,mourn,（死や不幸を）悲しむ、嘆く
745,fury,激しい怒り；（風雨などの）激しさ
746,astonish,～を驚かす
747,astound,～をびっくり仰天させる
748,aspire,（～することを）切望する；熱望する、求める
749,apprehension,気がかり、心配；理解
750,mischievous,いたずらな；有害な
751,arrogant,横柄な、尊大な、傲慢な
752,courage,勇気
753,shy,内気な、恥ずかしがりの
754,personality,個性、性格、人格；独特の雰囲気；有名人
755,serious,本気の、まじめな；重大な、深刻な
756,character,性格、個性、特徴；登場人物；人格；文字
757,polite,礼儀正しい、丁寧な；上品な、上流の
758,selfish,利己的な、わがままな、自分勝手な
759,proud,誇りを持って；（～を）誇って；（～を）自慢して
760,sound,（～に）思われる；（～に）聞こえる；（鐘などが）鳴る
761,general,世間一般の、一般的な；全体的な；大まかな
762,intense,強烈な、非常に強い、激しい
763,quantity,量
764,enormous,（形・程度などが）巨大な、莫大な
765,multitude,多数；（the～（s）で）大衆
766,expand,～を広げる、～を膨張させる
767,abound,豊富である；（場所などが）いっぱいである、（～で）満ちている
768,ample,たっぷりある、広大な
769,approximate,おおよその、近似の
770,score,得点；成績；20
771,supreme,（地位・性質などが）最高の；この上ない、究極の
772,trivial,ささいな、取るに足りない、ありふれた
773,acute,鋭い；深刻な；（痛みなどが）激しい；急性の
774,network,網状のもの；張り巡らされたもの；放送網；ネットワーク
775,feudal,封建制の
776,attorney,弁護士
777,board,板；会議；委員会；重役
778,candidate,候補者；志願者；立候補者
779,trial,試み、試験；裁判；試練、苦労
780,strategy,戦略、計画、方策
781,parliament,議会、国会；（P～で）英国議会
782,layman,（専門家に対して）しろうと；（聖職者に対して）平信徒
783,treaty,条約；交渉、約束
784,arm,腕；（～ｓで）武器
785,branch,"（一般に）枝；支店；部門 =division, section"
786,elect,～を選ぶ、～を選挙で選ぶ
787,function,機能、役割、働き；（公式な）式典、会合
788,govern,～を治める；～を支配する；～を左右する；～を抑制する
789,jail,刑務所；留置場；拘置所
790,official,公の、公式の；公務（上）の、お役所風の
791,personnel,（集合的に）社員；人事部
792,power,力、能力；権力；強国；（電気などの）エネルギー；体力、知力、精神力
793,social,社交的な；社会の、社会に関する、社会的な、社会生活を営む
794,word,短い会話；約束；単語、言葉；知らせ、消息
795,empire,帝国；大企業
796,institution,施設；（公共）機関、団体；制度、慣習
797,legal,合法的な；法律の；法的な
798,penalty,罰金；刑罰
799,revolution,革命、（思想などの）大変革；回転
800,royal,王室の、王の；王立の；風格のある
801,spectator,観客、見物人
802,statistics,［複数扱い］統計（の数字）；［単数扱い］統計学
803,system,装置、システム；制度、組織；体系；方法、学説、手順；体
804,troop,（移動する）群れ、一団；（～ｓ）軍隊、騎兵隊
805,vote,投票、票；選挙権；決議、決定
806,specialize,専門にする、専攻する
807,anarchy,無秩序
808,diversity,相違、多様性
809,bribe,賄賂
810,bureaucrat,官僚
811,census,国勢［ 市勢］ 調査；（主に人口の）一斉調査
812,committee,委員会
813,conservative,保守的な、控えめな
814,despotic,専制的な
815,superpower,超大国；強大な力
816,accordingly,それに応じて、それ相応に；したがって
817,factor,要因、要素
818,explain,～を説明する
819,define,～を定義する、～を明確に定める
820,convince,～を納得させる；～を確信させる
821,logical,論理的な、筋が通った；論理学（上）の
822,result,結果、（試験などの）成績
823,prove,～を証明する；～を試す
824,nevertheless,それにもかかわらず、それでもやはり
825,actually,実際に、（意外だが）実は、本当は
826,analysis,分析；解明
827,prestige,名声；威信
828,order,順序、等級；秩序、治安；命令；注文（品）；整理；正常、順調
829,lawyer,弁護士
830,investigate,～を調査する
831,infer,～を推論する
832,consequence,結果；重要性
833,conclude,（～である）と結論を下す；～を終える；～（発言など）を締めくくる；～（契約など）を締結する
834,inspect,～を検査する；～を調査する
835,eventually,結局は、ついに
836,examine,～を調べる；～に試験をする
837,bunch,束；集団、群れ
838,chairperson,議長；（会社などの）会長
839,snob,俗物；上流気取りの嫌な人
840,colleague,（仕事の）同僚
841,reign,統治、支配；君臨、治世
842,warfare,戦争状態、武力衝突；闘争
843,senator,上院議員
844,communist,共産主義者
845,summon,～を呼び出す、～を召集する
846,lure,魅力；おとり
847,welfare,幸福、繁栄、福祉；生活保護
848,crime,（刑法上の）犯罪
849,prison,刑務所；拘置所
850,famous,有名な
851,public,公の；公開の；公的な
852,state,状態；国家、州；威厳；地位、身分
853,political,政治の、政治的な、政治に関する
854,work,（不可算）仕事、労働；勉強、研究；職業、職場；（可算。通常～s）作品
855,agree,同意する、意見が一致する、賛成する；体質に合う
856,cause,原因；主義主張；理由；大義名分、目的
857,insist,～と主張する、～と言い張る；～を要求する
858,congress,（C～）（米国の）議会；国会；大会
859,illegal,不法な、違法な
860,statesman,政治家
861,nursery,託児所、保育園、子供部屋；園芸店、養殖場
862,prejudice,偏見；先入観
863,substitute,～を代わりに用いる、～を代用する
864,vocation,職業、天職；召命
865,facility,施設、設備；容易さ；才能
866,authority,権威、（...する）権限；権威者；当局；大家
867,diplomacy,外交；駆け引き
868,expert,専門家、熟達者
869,notwithstanding,それにもかかわらず
870,deduce,～を演えきする、（推理により結論）に達する
871,paradox,逆説；パラドックス；矛盾；矛盾しているようにみえること
872,criterion,（判断の）基準
873,administration,管理、経営、運営；行政、政府、政権
874,cabinet,（通例、the C～）内閣；飾り戸棚、キャビネット
875,dictator,独裁者
876,riot,暴動
877,sovereign,君主、主権者
878,municipal,地方自治体の；市町（営）の
879,baggage,手荷物；旅行荷物；（集合的に）（旅行時の）荷物
880,strength,力、強さ（のもと）
881,bomb,爆弾；大失敗
882,instrument,道具、器具；楽器
883,business,（自分自身に関する）事柄、こと；商売、事業；仕事、業務
884,case,実情；場合；事例；症例；症状；事件；事実；訴訟；容器
885,diet,（減量のための）食事制限、日常の食事；（the D～）国会
886,instance,例、実例；場合
887,line,職業；方針；短い手紙；線；列；（文の）行
888,VCR,ビデオデッキ（video cassete recorder の略）
889,shelf,棚
890,adequate,十分な、（ある目的のために）適切な
891,appropriate,適切な、ふさわしい
892,dense,（人が）密集した、密度の高い；濃い
893,drastic,徹底的な、思い切った、猛烈な、抜本的な
894,extravagant,仰々しい；金遣いの荒い、ぜいたくな
895,fertile,肥沃な；創造力豊かな；（動植物が）生殖力のある、多産な
896,flat,単調な；そっけない；平らな；断固とした；均一の
897,infinite,無限の
898,thorough,徹底的な、完全な；全くの；几帳面な
899,terrific,すばらしい；（量・程度が）ものすごい；恐ろしい
900,painstaking,骨の折れる、つらい；念入りな、丹精こめた
901,pulse,脈拍
902,cosmos,（the～で）宇宙；秩序；（植物）コスモス
903,muddy,泥の；濁った
904,particle,粒子；小さな粒
905,volcano,火山
906,thread,糸；（話などの）筋、続き
907,scissors,はさみ
908,apparatus,装置、器具
909,undue,過度の；不当な；支払期限が来ていない
910,proficient,熟達した、堪能な
911,dessert,（食後の）デザート
912,contain,～を中に入れている、～を収容する；～を抑える
913,feed,～にえさ［食べ物］を与える
914,incident,出来事、事件
915,bough,大枝.
916,material,材料、原料、資料、生地
917,matter,物質、物体；問題、事；困難；事情；重大さ
918,rate,割合、速度；料金
919,well-known,よく知られている
920,very,まさにその［この］、全くの
921,unit,単位
922,tough,かたい；丈夫な；難しい、困難な；不幸な
923,urge,～を駆り立てる ～に（・・・するよう）説得する ～を推進する、 衝動 欲求
924,press,～を押す ～を押し付ける ～に強く求める ～にアイロンをかける、 新聞 出版 押す事 アイロンがけをすること (the～)報道陣 報道機関
925,pressing,差し迫った
926,oblige,～に・・・をさせる ～に親切にする ～に恩恵を与える
927,incline,～を傾ける ～を（・・・する）気にさせる、 （心、ものが）傾く 傾斜する
928,compulsory,強制的な 義務的な 必修の
929,compel,～に（・・・することを）強制する ～を強いる
930,command,～に(・・・するよう）命令する ～を指揮する ～を支配する （景色など）を見渡す （同情、尊敬、指示など）を集める、 命令 支配 （言葉を）自由に操る力
931,claim,～を要求する （～である）と主張する （事故などが人名）を奪う、 （当然の権利としての）要求 （主張する）権利 主張
932,count,重要である
933,gross,総計の；大きな；ひどい
934,miniature,小模型、ミニチュア
935,sheer,まったくの；透き通った、薄い；切り立った
936,thermometer,温度計
937,stem,茎、幹；語幹
938,hydrogen,水素
939,oxygen,酸素
940,hygiene,衛生（学）
941,molecule,分子；微量
942,ozone,オゾン
943,abundant,豊富な；豊かな
944,badly,ひどく；とても；下手に；悪く
945,fast,（時計が）進んでいる；速い；しっかり固定した
946,empty,からの、人のいない、空いている、何もない
947,height,高さ、身長；高地；絶頂；丘、高台
948,range,範囲、幅；連なり
949,nearly,ほとんど；すんでのところで
950,accuse,～を訴える、～を非難する、～を責める
951,duty,義務、任務；責任；税、関税
952,contract,契約；契約書.
953,conference,会議；協議；協議会
954,editor,編集者
955,fabric,織物 布地 構造 骨組み
956,grain,穀物 穀粒 少量 微量 木目
957,mineral,鉱物 ミネラル、 鉱物を含んだ 鉱物の
958,profession,専門職 公言
959,professor,教授
960,project,企画 計画 事業 学習課題、 ～を計画する ～を映し出す ～を見積もる
961,sow,（種）をまく
962,trade,貿易 職業 商売、 貿易する 売買する、 ～を交換する ～を売買する
963,seemingly,うわべは 見たところは
964,utmost,最大の 最高の、 最大限
965,cough,咳をする
966,sneeze,くしゃみ
967,digest,～を消化する
968,dizzy,目まいがする、ふらふらする
969,heredity,遺伝
970,scar,傷跡、（けが等の）跡
971,surgeon,外科医
972,therapy,（薬や外科手術などを使わない）治療（法）
973,bishop,主教；司教
974,priest,司祭；聖職者
975,maternal,母の；母らしい
976,regular,定期的な、規則的な；一定の、いつもの；正規の
977,annual,年一回の、毎年の
978,ancient,古代の、昔の；昔からの；（物などが）とても古い
979,antique,骨董品の、年代物の；古風な
980,constant,絶え間のない；一定不変の
981,decade,10年間
982,immediate,即座の；すぐ隣の、近い；直接の
983,lately,最近.
984,recent,最近の；ごく新しい
985,last,最後の；この前の；最も（～）しそうにない
986,repeat,～を繰り返す；～を復唱する；～を口外する
987,constitute,～を構成する ～を制定する ～の構成要素である
988,decay,腐る 衰える、 腐敗 衰退
989,embody,（思想など）を具体化する
990,explode,爆発する ～を爆発させる
991,frame,校正 骨組み 骨格 枠 額縁、 ～を組み立てる ～を枠にはめる
992,pillar,柱 要所 中心的存在
993,gigantic,巨大な 莫大な
994,resolve,～を決心する ～を解決する ～を分析する、 決定する 決心する （・・・に）分解する
995,sew,～を縫う
996,stir,～をかき混ぜる ～をかき回す ～を奮起させる～を扇動させる
997,extraordinary,並外れた 普通ではない
998,mammal,哺乳動物；哺乳類
999,nourish,～を養う、～を育てる
1000,organ,（体の）器官；（政府などの）機関、組織；オルガン
1001,organism,有機体；生物；組織体
1002,disable,～の能力を奪う
1003,heal,（傷など）を治す
1004,slender,細長い、弱い、わずかな
1005,weary,疲れた；あきあきした
1006,ethnic,民族の、民族特有の
1007,restructure,～を再構築［再構成］する；～を再検討する
1008,ladder,はしご；出世への手段や道
1009,tongue,言語、言葉；舌；話しぶり
1010,throat,喉
1011,sight,視界；光景；見ること
1012,physical,身体の、肉体の；物質の、物理（学）の
1013,hand,筆跡；援助の手、人手；手；（時計などの）針
1014,female,女性の、雌の.
1015,male,男性の；雄の
1016,visible,目に見える
1017,vision,視力、視覚；洞察力；先見性、将来を見通す能力；幻、未来図
1018,blood,血；血統；血筋
1019,head,向かう、進む
1020,conventional,従来の；慣習的な；協定の
1021,agent,代理人 代理店 行為者
1022,sentence,～に判決を宣言する ～を刑に処す、 文 判決
1023,somewhat,いくらか
1024,flock,群れ、 群がる 集まる
1025,department,部門 課 局 売場 （米国政府の）省 学科
1026,pile,積み重ね 山 たくさん、 ～を積み重ねる ～を（・・・に）積む、 積みかさなる 殺到する
1027,subtle,微妙な かすかな 巧妙な 難解な 複雑な」鋭敏な
1028,steep,（坂などが）急な 険しい （値段が）法外
1029,scale,規模 段階 等級 縮尺 うろこ はかり、 ～を登る ～を（はかり・天秤で）はかる
1030,decent,まともな まあまあの 慎みのある かなりよい きちんとした
1031,drain,～の排水をする、～をからにする；～を消耗させる
1032,foster,～を育成する；（実子でない子供）を養育する；（希望など）を抱く
1033,needle,針、とがったもの
1034,manual,手動の、手の；（作業などが）人力を要する
1035,monopoly,独占、専売（権）；独占企業、専売会社
1036,organize,～を組織する；～体系づける；～を準備する；～を整える
1037,commodity,産物、商品、日用品
1038,blueprint,青写真［計画の具体的な進め方を説明するもの］、詳細な計画
1039,exquisite,この上なく優れた、たいへんすばらしい
1040,pathetic,哀れな；救いようのない
1041,age,年齢；老齢；時代；長い間
1042,infant,幼児、初心者
1043,childhood,少年［少女］時代；子供時代.
1044,youth,青春時代；若い人；若々しさ、未熟さ
1045,adopt,（方法など）を採用する；～を養子にする
1046,awake,～を眠りから覚ます
1047,challenge,やりがい（のある仕事）；課題；挑戦
1048,routine,決まり切った仕事、日課；いつもの手順
1049,chance,機会；可能性；見込み；偶然；（～s）形勢
1050,ceremony,儀式；式典；儀礼
1051,live,生きている；（演奏などが）生の；元気な、活気のある
1052,life,生物；生命；一生、人生；元気、活気；実物、本物
1053,spectacle,壮観 見もの 惨状 (～s)眼鏡
1054,athlete,運動選手 競技者 スポーツ選手
1055,race,人種 民族 人類 レース 競争 急ぐこと、 競争する 大急ぎでやる
1056,household,家族（全体） 世帯 家庭、 家庭の 家族の 家事の
1057,career,経歴 （一生続ける）職業 生涯 成功 出世
1058,offspring,子孫 成果 結果
1059,well-being,幸福 健康 福利
1060,funeral,葬式 葬儀
1061,elderly,初老の、 年配の
1062,perfume,香水；（快い）香り
1063,scent,（快い）香り；手掛かり
1064,stain,汚れ、しみ
1065,vogue,流行、人気
1066,fantasy,空想、幻想
1067,fancy,空想、（根拠のない）考え；好み；思いつき
1068,stimulate,～を刺激する；～を元気づける
1069,tempt,～を誘惑する、～を（...する）気にさせる；（神など）を怒らす
1070,illusion,錯覚、幻想、幻覚
1071,autograph,（有名人などの）サイン
1072,donation,寄付、寄贈
1073,geography,地理学；地形、地理
1074,continent,大陸；本土
1075,distant,遠い、距離のある；（関係が）冷ややかな
1076,globe,球体、世界、地球儀；（the～で）地球
1077,landscape,（陸地の）景色、風景、眺め
1078,summit,頂上、頂点；首脳会議、首脳
1079,moral,道徳上の；道徳的な、倫理的な、教訓的な
1080,promise,～を約束する；～の見込みがある
1081,truth,真実、事実；真理；誠実
1082,trust,～を信頼する、～を信用する；～に委託する
1083,responsible,責任がある、信頼できる;（～の）原因である
1084,border,境界（線） 国境 縁、 ～に接する ～に縁を付ける
1085,boundary,境界 限界
1086,colony,植民地 居留地 集落
1087,frontier,辺境 国境 先端（地） 最前線
1088,internal,内部の 国内の、 本質の (～s)内臓
1089,marine,海の 海に住む 海事の 海軍の、 海兵隊 海兵隊
1090,meadow,牧草地 草地
1091,path,小道 歩道 方針 生き方 進路
1092,peninsula,半島
1093,vacuum,真空（状態） 空虚 電気掃除機、 ～に掃除機をかける
1094,urban,都会の 都市の
1095,expedition,探検、遠征（ 隊）；迅速さ
1096,pavement,舗装；舗装道路
1097,avenue,大通り；（～に至る）道、手段、方法
1098,metropolis,首都；大都市
1099,orient,～の方向を見定める；～向けである；（～に）適応する
1100,domain,領土、領域
1101,province,（カナダ・豪州などの）州；（the～s）地方、田舎
1102,Antarctic,(the～）南極地方
1103,delinquency,非行
1104,exploit,（資源など）を開発する；～を搾取する、～を利用する
1105,exact,正確な、厳格な
1106,genuine,本物の；心からの；純粋な
1107,novel,目新しい；奇抜な
1108,ordinary,普通の、正規の；ありふれた、平凡な
1109,significant,重大な；意味のある
1110,right,ふさわしい、正当な；正しい；右の
1111,pure,純粋な；澄んだ；汚れのない
1112,peculiar,独特の、特有の；変な、妙な
1113,standard,基準、標準、水準
1114,vital,極めて重要な；不可欠な；生命に関する；活気のある
1115,worth,～の価値がある；～の財産を所有して
1116,linguistic,言語学（上）の 言葉の
1117,illustrate,～を例証する ～に挿絵を入れる ～を（図表などを使って）説明する
1118,illiterate,読み書きができない 無学の 教養のない
1119,version,～版 型 翻訳 説明 報告 表現 解釈
1120,revise,～を改定する ～を変更する
1121,theory,理論 学説
1122,theme,主題 テーマ 作文（の題） 主題歌
1123,sculpture,彫刻 彫刻作品、 ～を彫刻する、 彫刻する
1124,portrait,肖像画 描写
1125,masterpiece,傑作 代表作 名人芸
1126,monument,記念碑 遺跡 不滅の業績
1127,usage,使い方；語法；慣習
1128,document,文書（類）、書類、記録
1129,encyclopedia,百科事典
1130,enlighten,～を啓発する、～を啓蒙する；～を教える、～に知らせる
1131,plot,陰謀；（小説・劇などの）筋；小区画地
1132,statue,（彫）像
1133,geometry,幾何学
1134,legend,伝説、言い伝え；（絵などの）題、説明文；（地図、図表の）凡例
1135,renaissance,復興、復活；（the R ～）ルネッサンス、文芸復興
1136,prose,散文（体）
1137,found,～を設立する、～を（...の基礎の上に）作る
1138,disappear,消える、見えなくなる
1139,construct,～を組み立てる；～を建設する；（文・理論など）を構成する
1140,erect,（建物など）を建てる
1141,protect,～を保護する；～を守る
1142,recover,（失っていたもの）を取り戻す；～を回復する
1143,tear,～を引き裂く.
1144,ruin,～を破滅させる；～を台無しにする；～を崩壊させる
1145,mend,～を修理する、～を修繕する；（行儀など）を改める
1146,steady,しっかりした、固定した；変わらない；落ち着いた
1147,shape,形、姿；調子、状態
1148,structure,建物；構造、構成、組織、体系
1149,biography,伝記 電気文字
1150,fable,たとえ話 つくりばなし
1151,heritage,遺産
1152,canal,運河 水路
1153,barn,納屋 物置
1154,compose,～を構成する （文章や曲）を作る ～の心を落ち着ける
1155,establish,～を設立する ～を確立する
1156,spoil,～を台無しにする ～を甘やかしてダメにする ～を大事にする、 台無しにする （食物などが）だめになる、 強奪犯 略奪品
1157,restore,～を復活させる ～をもとの状態に戻す ～を回復する
1158,collapse,崩壊；衰弱；挫折
1159,fragment,破片、かけら
1160,compile,～を編集する
1161,modify,～を修正する；～を緩和する
1162,synthesis,総合、統合、合成
1163,knit,～を編む、～を組み合わせる；（まゆ）をよせる
1164,mold,～を型に入れて作る；（人格など）を形成する
1165,shelter,避難（所）、隠れ家、住まい
1166,condominium,｛米｝（分譲）マンション［共同住宅］
1167,suite,（ホテルの）スイートルーム；（オフィスビルなどの）一室；随行員
1168,skyscraper,超高層ビル
1169,afford,～を持つ（買う）余裕がある；～を与える、もたらす
1170,allowance,小遣い；手当；許可
1171,capital,大文字；資本；首都、州都
1172,poverty,貧困、不足、不毛
1173,wealth,財産、富；裕福；豊富な～；資源
1174,economy,経済、節約
1175,cost,（金額など）がかかる；～に犠牲を払わせる
1176,consume,～を消費する；～を使い果たす
1177,sum,合計；金額；大意
1178,earn,（働いてお金など）を稼ぐ、（名声など）を得る
1179,finance,～に融資する、～に資金を提供する
1180,provide,～を供給する；～に備える；～の規定を設ける
1181,immigrant,（他国からの）移民 （入国する）移民
1182,import,～を輸入する ～を取り入れる、 輸入（品）
1183,export,～を輸出する ～を外国に広める、 輸出 (～s)輸出品
1184,transfer,～を移動する ～を転任させる ～を（・・・に）譲渡する、 移転する 乗り換える、 移転 移動 乗り換え 振り込み 譲渡
1185,expense,費用 支出 経費 犠牲
1186,bill,請求書 法案 紙幣、 ～（人）に（支払を）請求する
1187,budget,予算 経費 予算案、 （時間、金額）をわりあてる、 予算を立てる
1188,debt,借金 恩義
1189,invest,～を投資する ～をつぎ込む （人）に（～を）与える
1190,enrich,～を豊かにする
1191,recession,景気後退
1192,revenue,（国家などの）歳入；収入
1193,transaction,（業務の）処理；取引；（～ｓ）議事録、学会などの紀要
1194,stock,在庫品；備え；株、株式
1195,barter,～を物々交換する
1196,deposit,預金；手付金、保証金
1197,charge,～に（料金などを）を請求する；～を非難する；～を告発する；（仕事など）を託す
1198,injection,注射；投入
1199,subdue,～を征服する；（感情）をおさえる；（声・照明）を弱める
1200,frugal,倹約な；質素な、貧弱な
1201,choice,選択肢；選択；選ぶこと；選ばれた物［人］
1202,keen,鋭い；鋭敏な、頭の切れる；熱心な
1203,loose,ゆるい；解き放たれた；束ねていない；節度のない
1204,subjective,主観的な
1205,casual,偶然の；気取らない；思いつきの；不用意な
1206,distinguish,～を区別する.
1207,admit,～を認める；～が（学校や組織などに）入ることを許可する
1208,justify,～を正当化する、～を弁明する
1209,fit,ふさわしい；適当な、適した；体の調子がよい
1210,label,～にラベルをはる；（人）にレッテルをはる
1211,suit,～に適する、～に似合う
1212,merit,長所 功績 （すぐれた）価値 賞点
1213,precious,高価な 貴重な 大切な
1214,indispensable,必要不可欠な
1215,brilliant,輝いた 素晴らしい 優秀な 鮮明な
1216,discriminate,差別する 識別する、 ～を区別する
1217,priceless,金では買えない とても高価な とても貴重な
1218,valid,妥当な 正当な 有効な 合法的な 効力がある
1219,secure,安全な 安心な 確保された 確実な、 ～を確保する ～を守る
1220,discern,～を見分ける
1221,credible,信頼できる
1222,deserve,～に値する ～を受ける価値がある
1223,shabby,ぼろぼろの、みすぼらしい
1224,futile,無駄な、無益な
1225,crucial,決定的な；重要な
1226,neat,きちんとした；手際のよい；すばらしい
1227,magnificent,壮大な、素晴らしい、荘厳な、華やかな
1228,assess,～を評価する；～を見積もる
1229,esteem,～を尊重する、～を（...だと）思う
1230,evaluate,～を評価する
1231,malice,悪意、敵意
1232,hypocrisy,偽善、偽善行為
1233,brain,脳、頭脳；（the ～）知識人［秀才］；（～s）知能、知的顧問
1234,breathe,呼吸をする
1235,deaf,耳が聞こえない、耳を貸さない
1236,fever,熱、高熱；熱狂
1237,thirsty,のどの渇いた；渇望する
1238,medicine,薬；医学
1239,weigh,～の重さを量る；～をよく考える；(be weighed) ～に打ちひしがれる
1240,seed,種をまく
1241,poison,毒、毒薬；弊害
1242,insect,昆虫
1243,temperature,温度、体温；高熱
1244,drug,薬 麻痺
1245,virus,ウィルス コンピュータウィルス
1246,laboratory,実験室 研究所 研究室
1247,cancer,癌 （社会などの）害悪
1248,handicapped,"身体障害の ハンディがある, 身体障害者"
1249,cure,～を治療する ～治す、 治療法 治療 解決策
1250,nutrition,栄養 滋養物
1251,pale,顔色が悪い （色の）淡い 薄い 迫力のない
1252,starve,飢える 餓死する 非常に腹が減る 渇望する
1253,strip,"～から（・・・を）はぎ取る ～を裸にする, 衣服を脱ぐ 裸になる"
1254,stress,～を強調する、 ストレス 緊張 圧力 強調 重点 アクセント
1255,subsequent,後の、次の
1256,spontaneous,自発的な、自然に起きる；進んでする
1257,simultaneous,同時の
1258,retrospect,追憶、思い出
1259,precede,～に先行する、～に優先する、～の前に（...を）置く
1260,postwar,戦後の
1261,meanwhile,その間に；一方では
1262,medieval,中世の；古めかしい
1263,plague,伝染病、疫病；災い、不幸
1264,wrinkle,しわ；妙案、助言
1265,appeal,訴える
1266,exchange,～を交換する、～を交換し合う；～を両替する
1267,pay,割に合う；見返りがある；利益をもたらす；（～の）代金を払う
1268,offer,～を提供する；（～すること）を申し出る；～を差し出す
1269,beg,～を請い求める；～に（～するように）懇願する
1270,reject,～を拒絶する、～を却下する.
1271,accept,～を受け取る；～を受け入れる；（考え、意見など）を認める
1272,require,～を必要とする；～を要求する
1273,refuse,～を拒絶する、～を（きっぱりと）断る
1274,prohibit,～を禁止する
1275,furnish,～に供給する、～に備え付ける
1276,study,書斎；研究；勉強
1277,knowledge,知識
1278,intelligent,知能の高い、頭の良い
1279,intellect,知性、知力
1280,attain,～を達成する；～に到達する
1281,hardly,ほとんど～ない
1282,likely,～しそうな；ありそうな；【限定用法】本当らしい、適当な
1283,apt,（～する）傾向のある、～しがちな；適切な；ふさわしい
1284,add,～を付け加える；～と付け加えて言う；～を合計する
1285,account,説明・釈明をする；割合を占める；原因となる
1286,lack,～を欠いている［持っていない］
1287,limit,～を制限する
1288,entire,全体の、全ての、完全な
1289,decrease,減少する、低下する.
1290,mere,単なる、ほんの
1291,obvious,明らかな、見てすぐわかる、分かり切った
1292,dull,（刃や痛みなどが）鈍い；退屈な；頭の悪い
1293,extreme,極端な、極度の
1294,namely,すなわち、つまり
1295,agriculture,農業
1296,industry,産業、工業; 勤勉
1297,bent,好み；傾向
1298,tradition,伝統、慣習；言い伝え
1299,practice,実行；練習；慣例；（医師や弁護士などの）業務
1300,harsh,厳しい 辛辣な どぎつい 不快な
1301,misfortune,不幸 不運
1302,seize,～をつかみ取る ～を差し押さえる ～を理解する (be ～ed with[by])（感情など）に襲われる
